,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2019-12-09,6592,46515299,4163181400,82.0,100.0,80.0,98.0,0.0,29039
1,2019-12-10,6592,21207094,2013013836,97.8,97.8,93.0,93.5,-4.5,16606
2,2019-12-11,6592,15718268,1427166388,91.7,92.8,89.5,90.5,-3.0,12117
3,2019-12-12,6592,11502431,1042870019,91.0,92.1,89.7,89.8,-0.7,8800
4,2019-12-13,6592,17401267,1502918715,89.9,90.0,84.6,84.8,-5.0,13238
5,2019-12-16,6592,8779659,747494774,83.9,87.0,83.0,85.6,0.8,6784
6,2019-12-17,6592,5529965,470146300,85.0,85.9,84.6,84.9,-0.7,3953
7,2019-12-18,6592,3046260,259950353,85.0,85.8,85.0,85.3,0.4,2654
8,2019-12-19,6592,10264093,904788414,86.0,89.4,85.8,89.1,3.8,7843
9,2019-12-20,6592,8054099,721689779,89.3,90.5,88.7,89.4,0.3,5971
10,2019-12-23,6592,4913575,433303601,89.2,89.2,87.7,87.7,-1.7,3779
11,2019-12-24,6592,2923787,257192137,88.1,88.6,87.7,88.1,0.4,2365
12,2019-12-25,6592,7120341,641043276,89.0,90.9,88.9,90.2,2.1,5595
13,2019-12-26,6592,3677401,329862840,90.3,90.7,89.2,89.4,-0.8,2867
14,2019-12-27,6592,3571104,318575667,89.9,90.0,88.7,88.9,-0.5,2691
15,2019-12-30,6592,3852796,343406640,89.0,90.0,88.2,89.1,0.2,2975
16,2019-12-31,6592,1962772,174633192,89.1,89.3,88.7,88.9,-0.2,1515
17,2020-01-02,6592,2595537,229853768,89.5,89.5,88.3,88.5,-0.4,1964
18,2020-01-03,6592,4026588,352839045,88.8,88.9,87.0,87.1,-1.4,2983
19,2020-01-06,6592,3273850,281408200,86.7,86.8,85.6,85.6,-1.5,2400
20,2020-01-07,6592,2703512,230621413,85.6,86.2,84.9,85.1,-0.5,2023
21,2020-01-08,6592,2872365,241887231,84.5,84.8,83.8,84.1,-1.0,2210
22,2020-01-09,6592,1398181,118798735,84.5,85.3,84.5,85.1,1.0,1147
23,2020-01-10,6592,1496300,128154629,85.3,86.0,85.3,85.7,0.6,1101
24,2020-01-13,6592,2328799,202817330,86.0,87.7,86.0,87.1,1.4,1674
25,2020-01-14,6592,1388900,120701000,87.2,87.4,86.5,86.8,-0.3,1076
26,2020-01-15,6592,1439056,124012124,86.8,87.0,85.8,85.8,-1.0,1093
27,2020-01-16,6592,907500,78119349,86.1,86.3,85.9,86.1,0.3,689
28,2020-01-17,6592,884722,76304052,86.2,86.6,86.1,86.1,0.0,685
29,2020-01-20,6592,1663449,144105863,86.3,87.1,86.2,86.8,0.7,1298
30,2020-01-30,6592,7047617,575423479,82.2,82.8,80.2,80.7,-6.1,4792
31,2020-01-31,6592,2257589,184283164,80.8,82.4,80.7,81.8,1.1,1700
32,2020-02-03,6592,2945970,233382767,80.0,80.4,77.4,79.8,-2.0,2235
33,2020-02-04,6592,1526746,123658813,80.2,81.5,80.1,81.4,1.6,1203
34,2020-02-05,6592,1803190,147784327,82.3,82.3,81.2,82.0,0.6,1267
35,2020-02-06,6592,2218376,183790878,82.5,83.3,82.4,82.9,0.9,1545
36,2020-02-07,6592,1168531,96061647,82.9,82.9,82.0,82.0,-0.9,818
37,2020-02-10,6592,1705750,137474097,80.1,81.3,80.0,80.7,-1.3,1218
38,2020-02-11,6592,1010294,81974058,81.0,81.5,80.8,80.9,0.2,799
39,2020-02-12,6592,1004152,81661113,80.9,81.8,80.9,81.4,0.5,694
40,2020-02-13,6592,981003,79856438,81.6,81.7,81.2,81.3,-0.1,704
41,2020-02-14,6592,1157090,93668021,81.1,81.2,80.8,80.9,-0.4,821
42,2020-02-17,6592,1119984,90134404,80.8,80.9,80.2,80.5,-0.4,851
43,2020-02-18,6592,959341,77301376,80.6,80.9,80.3,80.6,0.1,715
44,2020-02-19,6592,906560,73156111,80.6,81.0,80.4,80.9,0.3,617
45,2020-02-20,6592,634704,51440591,81.2,81.5,80.8,80.9,0.0,502
46,2020-02-21,6592,720200,58083232,80.9,80.9,80.5,80.6,-0.3,560
47,2020-02-24,6592,1394140,111627870,80.0,80.5,79.9,80.0,-0.6,980
48,2020-02-25,6592,1373020,109460595,79.2,80.1,79.2,79.9,-0.1,937
49,2020-02-26,6592,1075192,85576028,79.5,79.8,79.4,79.5,-0.4,722
50,2020-02-27,6592,2097755,165204758,79.5,79.7,78.0,78.1,-1.4,1545
51,2020-03-02,6592,1889244,144614327,76.0,77.8,75.7,76.5,-1.6,1487
52,2020-03-03,6592,1278100,99757348,77.7,78.5,77.7,78.0,1.5,895
53,2020-03-04,6592,797938,61560084,77.5,77.7,76.7,77.3,-0.7,618
54,2020-03-05,6592,1010840,78860120,78.0,78.5,77.7,77.9,0.6,694
55,2020-03-06,6592,1050630,81310959,78.0,78.2,77.0,77.1,-0.8,676
56,2020-03-09,6592,3173883,239588825,76.8,76.8,74.3,74.3,-2.8,2132
57,2020-03-10,6592,3972780,285174423,72.2,73.0,71.0,73.0,-1.3,2453
58,2020-03-11,6592,1423946,103835472,73.5,73.7,72.0,72.0,-1.0,956
59,2020-03-12,6592,3495990,241246707,71.0,71.0,68.1,68.1,-3.9,2529
60,2020-03-13,6592,4153414,260229048,63.5,64.4,61.7,63.9,-4.2,2785
61,2020-03-16,6592,2366899,151720115,64.5,64.8,63.5,63.6,-0.3,1535
62,2020-03-17,6592,2415189,149960107,61.7,63.0,61.6,62.0,-1.6,1439
63,2020-03-18,6592,2063539,128593018,62.0,63.2,62.0,62.0,0.0,1294
64,2020-03-19,6592,4376503,249698068,60.6,60.6,55.8,55.8,-6.2,2804
65,2020-03-20,6592,2447940,143985342,58.0,60.0,57.6,58.7,2.9,1547
66,2020-03-23,6592,1285150,72091031,56.0,57.1,54.4,56.5,-2.2,887
